vid_title,vid_id,publish_date,channel_title,channel_id,category_id,duration,views,likes,comments
NASA Live: Official Stream of NASA TV,21X5lGlDOfg,2018-12-28T18:40:15Z,NASA,UCLA_DiR1FfKNvjuUpBHmylQ,28,P0D,136274799,2094730,0
Pocoyó -   Porquera en la tubería (S04E05),DTyy5Hf46Fs,2018-06-17T11:41:25Z,Pocoyo Series,UCzKG_Nq4SAWE-VBEuHo3jYA,1,PT7M9S,118073485,504562,0
"Rap Live Radio 24/7 | Hip-Hop & Popular Rap Music by Pooh Shiesty, Cardi B, Jack Harlow & more!",05689ErDUdM,2018-11-30T21:26:38Z,UPROXX Music,UCI2HI_aQ_S3v4vfDQgNtK1g,10,P0D,28581927,337831,7
Sai Ram Sai Shyam Sai Bhagwan Shirdi Ke Daata sabse Mahaan,p_LA2j5iD8w,2018-10-10T21:07:17Z,Prince Tiwari Vlogs,UCB-W8xOMspe3xH8Q2dKrdPg,22,PT27M44S,19399585,102519,6882
Paw Patrol Lookout Tower Defended By Assistant and Officer Ryan From PJ Mask Baby Gekko,JlL0QYEENGo,2018-06-02T11:00:02Z,TheEngineeringFamily,UC44eGZ76AJLHAxPaJ_MW2RA,27,PT17M59S,18522880,16586,0
اصعب ماب الطيحة مع سيد ! ( مستحيييييييل 😱 ! ) - Minecraft DROPPER,Ty7UDgB-hNw,2018-04-29T09:59:18Z,أوسمز oCMz,UCkB5ojIKQsUUSWSkkmLZkWg,20,PT23M35S,15819841,339445,6920
BLAKE - LENGUA DE SERPIENTE [VIDEOCLIP OFICIAL],mEXC26emuxw,2018-03-29T13:57:16Z,Metallica,UCLmsHpqffqs_5y8jvbsptvw,10,PT4M,14858598,191013,3645
Titans  Hulk -Bowser12345,r6BcxnzlFVA,2018-05-04T07:19:52Z,Bitcoin,UC1izs4YrGRtx06zk9Xmyreg,1,PT8M,12641528,68368,937
Pocoyó y los huevos de Pascua,JbgqXV4Ikww,2018-01-19T14:41:52Z,Pocoyo Series,UCzKG_Nq4SAWE-VBEuHo3jYA,1,PT29M58S,11467814,35992,0
Teen titans Go! Character mix-Bowser12345,QFX1YvdGPKM,2018-05-17T15:57:00Z,Bitcoin,UC1izs4YrGRtx06zk9Xmyreg,1,PT1M26S,10246351,82878,500
